"hour","district","rev5","rev1","rev2","rev3","rev4"
"5am","137",5071.38,797,2887.97,4776,4020.21
"5am","138",4114.29,433.3,2027.33,4371.85,4451.8
"5am","139",902.28,258.99,370.22,785.8,917.09
"5am","140",1365.21,370.67,649.41,979.11,779.31
"5am","141",162.84,25.85,79.65,152.49,283
"5am","301",4332.69,5931.17,6674.7,7783.75,4120.27
"5am","302",9189.08,6148.91,10449.61,18618.22,12523.85
"5am","303",4675.13,3845.05,6684.99,6329.52,1994.03
"5am","304",3182.5,1622.7,1881.67,4777.09,6127.36
"5am","305",760.86,673.1,1385.34,821.83,296.73
"5am","306",3070.22,1670.13,3389.59,4680.26,1939.29
"5am","307",11822.37,6705.06,17992.89,20606.02,8113.2
"5am","308",14634.1,5657.67,15975.41,18863.74,10582.94
"5am","309",6740.98,1460.82,5469.13,10502.25,10216.27
"5am","310",3830.16,884.32,3303.76,6173.01,6249.63
"5am","401",3755.06,2170.73,6499.6,7169.08,2560.63
"5am","402",4848.87,1433.28,6719.34,7831.9,5851.99
"5am","403",18064.07,10970.99,19433.56,16117.81,6962.47
"5am","404",10472.26,4310.17,12148.43,14749.7,8356.65
"5am","405",9823.26,3265.09,10315.91,13514.76,7071.96
"5am","406",14296.52,10025.21,17339.74,18313.31,7401.11
"5am","407",4795.8,2399.56,5645.29,6696.25,3518.82
"5am","408",5579.39,1712.4,7423.21,5788.28,2852.88
"5am","501",1676.76,1035.13,2261.79,2387.43,789.86
"5am","502",1424.67,1175.5,2577.83,1906.5,575.5
"5am","511",10831.98,10963.31,22325.39,22268.65,7674.89
"5am","521",4638.86,1433.75,5671.47,8575.24,5150.79
"5am","522",1789.54,700.34,2962.67,4285.82,2689.06
"5am","523",3771.48,2348.5,6528.04,6918.19,2744.43
"5am","524",4094.85,1975.52,5050.71,6461.16,4420.36
"5am","525",885.46,635.6,1907.16,1332.86,803.23
"5am","531",4552.12,1858.84,7594.95,10480.84,5635.15
"5am","532",5205.45,2109.79,5911.69,9027.53,4754.94
"5am","533",5821.76,6556.91,9470.82,7562.61,2991.8
"5am","541",1117.94,781.1,1343.63,1575.19,664.76
"5am","542",3160.12,1521.55,3741.5,5883.57,3833.91
"5am","543",3287.44,758.96,2807.99,4754.1,3870.03
"5am","544",5927.41,3203.46,10824.51,13087.73,5454
"5am","545",1863.96,1036.15,3052.73,3625.47,1118.15
"5am","546",8622.4,4588.93,12080.2,9974.32,3730.35
"5am","547",1504.52,1562.71,1550.75,1334.71,325.43
"5am","551",1902.73,1541.77,3744.13,3194.12,1283.66
"5am","561",1720.27,1854.82,3030.46,2486.11,957.91
"5am","562",5621.86,6499.49,9564.67,9150.2,2751.48
"5am","563",492.32,622.17,810.65,708.1,225.98
"5am","564",898.35,443.98,1140.18,1544.29,669.89
"5am","571",2396.8,1603.72,4827.35,5841.59,1500.89
"5am","572",5580.25,2697.1,8452.68,9113.47,3616.83
"5am","573",4740.92,2577.63,7033,8896.41,4300.02
"5am","574",3456.6,925.73,4104.64,5678.57,4487.1
"5am","575",1377.48,912.03,1502.36,1352.53,1073.66
"5am","576",1615.75,1590.06,3402.99,3523.02,1065.18
"5am","601",2217.27,2132.35,4543.4,3813.46,957.77
"5am","602",7281.55,9641.46,11561.45,11804.63,4116.52
